Company,Website,Funding_Stage,LinkedIn_Jobs_Search_URL,Career_Page_URL,GTM_Role_Posted,Role_Title,Date_Posted,Urgency_Score,Notes
Fluency,fluency.com,Series A ($40M),https://www.linkedin.com/jobs/search/?keywords=Fluency%20(Revenue%20Operations%20OR%20Marketing%20Operations%20OR%20Customer%20Success),https://fluency.com/careers,,,,,
Echo,echo.com,Series A ($35M),https://www.linkedin.com/jobs/search/?keywords=Echo%20(Head%20of%20Growth%20OR%20Ecommerce%20Operations%20OR%20Marketing),https://echo.com/careers,,,,,
Logpresso,logpresso.com,Funding Round,https://www.linkedin.com/jobs/search/?keywords=Logpresso%20(Sales%20Operations%20OR%20Marketing%20Operations%20OR%20Partnerships),https://logpresso.com/careers,,,,,
Ankar,ankar.com,Series A ($20M),https://www.linkedin.com/jobs/search/?keywords=Ankar%20(Revenue%20Operations%20OR%20Product%20Operations%20OR%20Engineering%20Operations),https://ankar.com/careers,,,,,
Magma,magma.io,Series A,https://www.linkedin.com/jobs/search/?keywords=Magma%20(Revenue%20Operations%20OR%20DevOps%20OR%20Platform%20Engineering),https://magma.io/careers,,,,,
Roamless,roamless.com,Series A ($12M),https://www.linkedin.com/jobs/search/?keywords=Roamless%20(Head%20of%20Growth%20OR%20Partnerships%20OR%20Marketing%20Operations),https://roamless.com/careers,,,,,
Pryzm,pryzm.com,Seed ($12.2M),https://www.linkedin.com/jobs/search/?keywords=Pryzm%20(Head%20of%20Growth%20OR%20Revenue%20Operations%20OR%20Marketing),https://pryzm.com/careers,,,,,
Gambit Cyber,gambitcyber.com,Seed ($3.4M),https://www.linkedin.com/jobs/search/?keywords=Gambit%20Cyber%20(Sales%20Operations%20OR%20Marketing%20OR%20Partnerships),https://gambitcyber.com/careers,,,,,
Punto Health,puntohealth.com,Seed ($2.7M),https://www.linkedin.com/jobs/search/?keywords=Punto%20Health%20(Revenue%20Operations%20OR%20Customer%20Success%20OR%20Partnerships),https://puntohealth.com/careers,,,,,
Mirelo,mirelo.com,Seed ($41M),https://www.linkedin.com/jobs/search/?keywords=Mirelo%20(Head%20of%20Growth%20OR%20Partnerships%20OR%20Marketing%20Operations),https://mirelo.com/careers,,,,,
Arcads.ai,arcads.ai,Seed ($16M),https://www.linkedin.com/jobs/search/?keywords=Arcads%20(Head%20of%20Growth%20OR%20Marketing%20Operations%20OR%20Demand%20Generation),https://arcads.ai/careers,,,,,
Lynk,lynkfit.com,Pre-Seed,https://www.linkedin.com/jobs/search/?keywords=Lynk%20(Head%20of%20Growth%20OR%20Marketing%20OR%20Partnerships),https://lynkfit.com/careers,,,,,
BoodleBox,boodlebox.com,Seed ($5M),https://www.linkedin.com/jobs/search/?keywords=BoodleBox%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://boodlebox.com/careers,,,,,
Dux,dux.io,Seed ($9M),https://www.linkedin.com/jobs/search/?keywords=Dux%20(Sales%20Operations%20OR%20Marketing%20Operations%20OR%20Revenue%20Operations),https://dux.io/careers,,,,,
Mindoo,mindoo.com,Seed ($5M),https://www.linkedin.com/jobs/search/?keywords=Mindoo%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Customer%20Success),https://mindoo.com/careers,,,,,
Lovable,lovable.com,Series A ($330M / $6.6B val),https://www.linkedin.com/jobs/search/?keywords=Lovable%20(Revenue%20Operations%20OR%20Head%20of%20Growth%20OR%20Marketing%20Operations),https://lovable.com/careers,,,,,
PolyAI,poly.ai,Series ($86M),https://www.linkedin.com/jobs/search/?keywords=PolyAI%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Enterprise%20Sales),https://poly.ai/careers,,,,,
Cyera,cyera.io,Series ($400M),https://www.linkedin.com/jobs/search/?keywords=Cyera%20(Revenue%20Operations%20OR%20Sales%20Operations%20OR%20Marketing%20Operations),https://cyera.io/careers,,,,,
Mythic,mythic.ai,Series ($125M),https://www.linkedin.com/jobs/search/?keywords=Mythic%20(Partnerships%20OR%20Business%20Development%20OR%20Revenue%20Operations),https://mythic.ai/careers,,,,,
SCALE AI,scale.com,Series ($129M),https://www.linkedin.com/jobs/search/?keywords=Scale%20AI%20(Revenue%20Operations%20OR%20Sales%20Operations%20OR%20Marketing%20Operations),https://scale.com/careers,,,,,
MoEngage,moengage.com,Growth Round,https://www.linkedin.com/jobs/search/?keywords=MoEngage%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Marketing%20Operations),https://moengage.com/careers,,,,,
GravityLabs,gravitylabs.com,Series A ($17M),https://www.linkedin.com/jobs/search/?keywords=GravityLabs%20(Revenue%20Operations%20OR%20Head%20of%20Growth%20OR%20Marketing),https://gravitylabs.com/careers,,,,,
Resolve AI,resolve.ai,Series A ($1B val),https://www.linkedin.com/jobs/search/?keywords=Resolve%20AI%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://resolve.ai/careers,,,,,
FINNY,finny.com,Series A ($17M),https://www.linkedin.com/jobs/search/?keywords=FINNY%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://finny.com/careers,,,,,
Chai Discovery,chaidiscovery.com,Funding Round,https://www.linkedin.com/jobs/search/?keywords=Chai%20Discovery%20(Partnerships%20OR%20Business%20Development%20OR%20Revenue%20Operations),https://chaidiscovery.com/careers,,,,,
Finalis,finalis.com,Funding Round,https://www.linkedin.com/jobs/search/?keywords=Finalis%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Marketing%20Operations),https://finalis.com/careers,,,,,
Smartling,smartling.com,Growth Round,https://www.linkedin.com/jobs/search/?keywords=Smartling%20(Revenue%20Operations%20OR%20Marketing%20Operations%20OR%20Partnerships),https://smartling.com/careers,,,,,
InfiniteWatch,infinitewatch.com,Pre-Seed ($4M),https://www.linkedin.com/jobs/search/?keywords=InfiniteWatch%20(Head%20of%20Growth%20OR%20Product%20Operations%20OR%20Marketing),https://infinitewatch.com/careers,,,,,
Thread,thread.com,Growth Equity ($18M),https://www.linkedin.com/jobs/search/?keywords=Thread%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Marketing%20Operations),https://thread.com/careers,,,,,
Coinbax,coinbax.com,Funding Round,https://www.linkedin.com/jobs/search/?keywords=Coinbax%20(Partnerships%20OR%20Revenue%20Operations%20OR%20Business%20Development),https://coinbax.com/careers,,,,,
Hyro,hyro.ai,Series ($45M),https://www.linkedin.com/jobs/search/?keywords=Hyro%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://hyro.ai/careers,,,,,
Tebra,tebra.com,Series ($250M),https://www.linkedin.com/jobs/search/?keywords=Tebra%20(Revenue%20Operations%20OR%20Sales%20Operations%20OR%20Marketing%20Operations),https://tebra.com/careers,,,,,
CuePilot AI,cuepilot.ai,Pre-Seed ($18M),https://www.linkedin.com/jobs/search/?keywords=CuePilot%20(Head%20of%20Growth%20OR%20Partnerships%20OR%20Marketing%20Operations),https://cuepilot.ai/careers,,,,,
Ambassador,ambassador.com,Series A ($7M),https://www.linkedin.com/jobs/search/?keywords=Ambassador%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Marketing%20Operations),https://ambassador.com/careers,,,,,
Medigate,medigate.io,Funding Round,https://www.linkedin.com/jobs/search/?keywords=Medigate%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://medigate.io/careers,,,,,
Cyphlens,cyphlens.com,Seed ($3.8M),https://www.linkedin.com/jobs/search/?keywords=Cyphlens%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://cyphlens.com/careers,,,,,
Dazzle AI,dazzle.ai,Seed ($8M),https://www.linkedin.com/jobs/search/?keywords=Dazzle%20(Head%20of%20Growth%20OR%20Marketing%20Operations%20OR%20Revenue%20Operations),https://dazzle.ai/careers,,,,,
Prance,prance.ai,Seed Round,https://www.linkedin.com/jobs/search/?keywords=Prance%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Marketing%20Operations),https://prance.ai/careers,,,,,
Prosperr.io,prosperr.io,Seed ($4M),https://www.linkedin.com/jobs/search/?keywords=Prosperr%20(Revenue%20Operations%20OR%20Marketing%20Operations%20OR%20Partnerships),https://prosperr.io/careers,,,,,
Zinit,zinit.io,Seed ($8M),https://www.linkedin.com/jobs/search/?keywords=Zinit%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://zinit.io/careers,,,,,
Nodu,nodu.io,Pre-Seed ($1.45M),https://www.linkedin.com/jobs/search/?keywords=Nodu%20(Head%20of%20Growth%20OR%20Marketing%20OR%20Partnerships),https://nodu.io/careers,,,,,
Newera.ai,newera.ai,Seed ($2.1M),https://www.linkedin.com/jobs/search/?keywords=Newera%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Sales%20Operations),https://newera.ai/careers,,,,,
HoneyBook,honeybook.com,Growth Stage,https://www.linkedin.com/jobs/search/?keywords=HoneyBook%20(Revenue%20Operations%20OR%20Marketing%20Operations%20OR%20Head%20of%20Growth),https://honeybook.com/careers,,,,,
Gopuff,gopuff.com,Late Stage,https://www.linkedin.com/jobs/search/?keywords=Gopuff%20(Revenue%20Operations%20OR%20Sales%20Operations%20OR%20Marketing%20Operations),https://gopuff.com/careers,,,,,
